Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
Visa Singapore, SG, Singapore,03/05/2023,Data Scientist,Data,3 yrs,3 yrs,95.000 S$,95 mil,N/A,N/A
Tookitaki Singapore, SG, Singapore,28/04/2023,L3,Data Scientist,1 yr,0 yrs,70.000 S$,70 mil,N/A,N/A
Agency for Science, Technology and Research, Singapore, SG, Singapore,26/04/2023,5b,Machine Learning,10 yrs,4 yrs,208.912 S$,182.2 mil,N/A,26.7 mil
Standard Chartered, Singapore, SG, Singapore,13/04/2023,L5,Other,6 yrs,2 yrs,250.001 S$,200 mil,N/A,50 mil
DSTA Singapore, SG, Singapore,11/04/2023,L3,Data,3 yrs,3 yrs,85.000 S$,85 mil,N/A,N/A
ByteDance Singapore, SG, Singapore,06/04/2023,-,Data,9 yrs,1 yr,185.000 S$,132 mil,20 mil,33 mil
Grab Singapore, SG, Singapore,03/04/2023,G4,AI/ML,2 yrs,0 yrs,135.000 S$,100 mil,20 mil,15 mil
Indeed Singapore, SG, Singapore,31/03/2023,L2-II,Senior,4 yrs,1 yr,175.000 S$,120 mil,40 mil,15 mil
Indeed Singapore, SG, Singapore,31/03/2023,L2,Senior,3 yrs,1 yr,185.000 S$,125 mil,40 mil,20 mil
Data Scientist, Singapore, SG, Singapore,25/03/2023,hidden,hidden,4 yrs,4 yrs,85.536 S$,83.2 mil,N/A,2.3 mil
Indeed Singapore, SG, Singapore,23/03/2023,L2-II,Science,4 yrs,1 yr,168.500 S$,126 mil,42.5 mil,N/A
Capgemini Singapore, SG, Singapore,22/03/2023,A3,Data Science,3 yrs,1 yr,53.280 S$,53.3 mil,N/A,N/A
Grab Singapore, SG, Singapore,21/03/2023,G3,PA,3 yrs,1 yr,107.400 S$,99.6 mil,7.8 mil,N/A
Grab Singapore, SG, Singapore,07/03/2023,G3,Analytics,1 yr,1 yr,94.800 S$,72 mil,12 mil,10.8 mil
Data Scientist, Singapore, SG, Singapore,05/03/2023,hidden,hidden,0 yrs,0 yrs,19.200 S$,19.2 mil,N/A,N/A
Grab Singapore, SG, Singapore,02/03/2023,G3,IC,1 yr,1 yr,117.500 S$,90 mil,20 mil,7.5 mil
Micron Technology, Singapore, SG, Singapore,28/02/2023,E1,Manufacturing,2 yrs,1 yr,70.000 S$,60 mil,N/A,10 mil
Shopee Singapore, SG, Singapore,25/02/2023,L3-,,3 yrs,1 yr,112.800 S$,86.4 mil,19.2 mil,7.2 mil
Data Scientist, Singapore, SG, Singapore,20/02/2023,hidden,hidden,5-10 yrs,0-1 yrs,126.000 S$,126 mil,N/A,N/A
Thales Singapore, SG, Singapore,14/02/2023,LR7,-,5 yrs,5 yrs,87.750 S$,87.8 mil,N/A,N/A
Caterpillar Singapore, SG, Singapore,09/02/2023,Grade 21-4,4 yrs 4 yrs,78.000 S$78 mil,N/A,N/A
Capgemini Singapore, SG, Singapore,01/02/2023,A5A53,3 yrs 1 yr,69.700 S$69,7 mil,N/A,N/A
ByteDance Singapore, SG, Singapore,31/01/2023,1-2,Technical,1 yr 0 yrs,130.000 S$130 mil,N/A,N/A
AIA SingaporeSingapore, SG, Singapore,31/01/2023,3A,Technology - Data Architecture,1 yr 0 yrs,77.550 S$66 mil,N/A,11,6 mil
Snackpass Singapore, SG, Singapore,31/01/2023,L2-5,2 yrs,96.000 S$84 mil,N/A,12 mil
Negotiate up, or your money back,$25k,$19k,$13k
Negotiate your offer,Make More,Grab Singapore, SG, Singapore,26/01/2023,G4,Senior,5 yrs 3 yrs,120.000 S$120 mil,N/A,N/A
Chope Singapore, SG, Singapore,23/01/2023,L3,Fnb,7 yrs 1 yr,132.000 S$132 mil,N/A,N/A
Facebook Singapore, SG, Singapore,14/01/2023,IC5,Ads measurement,10 yrs 3 yrs,351.849 S$219 mil,100 mil,32,8 mil
Shopee Singapore, SG, Singapore,14/01/2023,Senior,Analytics,3 yrs 2 yrs,112.500 S$90 mil,7,5 mil,15 mil
National Universi... Singapore, SG, Singapore,13/01/2023,-,Machine Learning,5 yrs 5 yrs,91.000 S$84 mil,N/A,7 mil
Data ScientistSingapore, SG, Singapore,05/01/2023,hidden,hidden,2-4 yrs 0-1 yrs,89.000 S$89 mil,N/A,N/A
GoTo Financial Singapore, SG, Singapore,27/12/2022,L3,Lending,5 yrs 1 yr,120.000 S$120 mil,N/A,N/A
Zeus Living Singapore, SG, Singapore,17/12/2022,L2,AI/ML,3 yrs 2 yrs,114.000 S$114 mil,N/A,N/A
